Fecha	Pruebas	Positivos
22-Nov	4935037	949670
23-Nov	4945165	950557
24-Nov	4961493	952439
25-Nov	4982778	954459
26-Nov	4999956	956347
27-Nov	5019608	958324
28-Nov	5039956	960368
29-Nov	5059179	962530
30-Nov	5069698	963605
1-Dic	5085775	965228
2-Dic	5103401	967075
3-Dic	5119245	968846
4-Dic	5136390	970860
5-Dic	5154919	972688
6-Dic	5167466	973912
7-Dic	5179331	975116
8-Dic	5195499	976621
9-Dic	5204299	977312
10-Dic	5217086	979111
11-Dic	5232485	980943
12-Dic	5248832	983045
13-Dic	5264455	984973
14-Dic	5273241	986130
15-Dic	5284292	987675
16-Dic	5301184	989457
17-Dic	5318292	991518
18-Dic	5345801	993760
19-Dic	5361432	995899
20-Dic	5374886	997517
21-Dic	5383267	998475
22-Dic	5397861	1000153
23-Dic	5416226	1002263
24-Dic	5433168	1003982
25-Dic	5446927	1005546
26-Dic	5453091	1006318
27-Dic	5463577	1007657
28-Dic	5473555	1008908
29-Dic	5486007	1010496
30-Dic	5502884	1012614
31-Dic	5522513	1015137
1-Ene	5537730	1017199
2-Ene	5543366	1018099
3-Ene	5555591	1019475
4-Ene	5567797	1021058
5-Ene	5581668	1022018
6-Ene	5622260	1024432
7-Ene	5653472	1026690
8-Ene	5683233	1029471
9-Ene	5723319	1032275
10-Ene	5757541	1035184
11-Ene	5784548	1037350
12-Ene	5817528	1040231
13-Ene	5742300	1043640
14-Ene	5767641	1048662
15-Ene	5815670	1056023
16-Ene	5844283	1060567
17-Ene	5876017	1064909
18-Ene	5901809	1068802
19-Ene	5928005	1073214
20-Ene	5958860	1078675
21-Ene	5989114	1082907
22-Ene	6028030	1088096
23-Ene	6060702	1093938
24-Ene	6093440	1099013
25-Ene	6113359	1102795
26-Ene	6142221	1107239
27-Ene	6176497	1113970
28-Ene	6213099	1119685
29-Ene	6250392	1125875
30-Ene	6300181	1133022
31-Ene	6333674	1138239
1-Feb	6354240	1142716
2-Feb	6395019	1149764
3-Feb	6440564	1158337
4-Feb	6491121	1165052
5-Feb	6533783	1173045
6-Feb	6581216	1180478
7-Feb	6608063	1186698
8-Feb	6636133	1191221
