Facultad;Departamento;Periodo;curso;cantidad_matriculados
Ingenieria Agricola;Mecanizacion y Energia;2025-I;Maquinaria para Siembra y Mantenimiento de Cultivos;27
Ingenieria Agricola;Mecanizacion y Energia;2025-I;Mecanica Vectorial II;21
Ingenieria Agricola;Mecanizacion y Energia;2025-I;Mecanizacion Agricola I;109
Ingenieria Agricola;Mecanizacion y Energia;2025-I;Motores y Tractores;44
Ingenieria Agricola;Mecanizacion y Energia;2025-I;Seminario de Tesis I;13
Ingenieria Agricola;Mecanizacion y Energia;2025-I;Termodinamica;73
Ingenieria Agricola;Ordenamiento Territorial y Construccion;2025-I;Abastecimiento de Agua y Alcantarillado;23
Ingenieria Agricola;Ordenamiento Territorial y Construccion;2025-I;Analisis Estructural I;24
Ingenieria Agricola;Ordenamiento Territorial y Construccion;2025-I;Analisis Matematico III;63
Ingenieria Agricola;Ordenamiento Territorial y Construccion;2025-I;Analisis Matematico IV;18
Ingenieria Agricola;Ordenamiento Territorial y Construccion;2025-I;Arquitectura del Paisaje I;1
Ingenieria Agricola;Ordenamiento Territorial y Construccion;2025-I;Concreto Reforzado;39
Ingenieria Agricola;Ordenamiento Territorial y Construccion;2025-I;Dibujo Avanzado en Ingenieria;25
Ingenieria Agricola;Ordenamiento Territorial y Construccion;2025-I;Dibujo en Ingenieria;53
Ingenieria Agricola;Ordenamiento Territorial y Construccion;2025-I;Dibujo General;144
Ingenieria Agricola;Ordenamiento Territorial y Construccion;2025-I;Diseño Rural;45
Ingenieria Agricola;Ordenamiento Territorial y Construccion;2025-I;Energia Solar Fotovoltaica y Eolica;19
Ingenieria Agricola;Ordenamiento Territorial y Construccion;2025-I;Energias Renovables;52
Ingenieria Agricola;Ordenamiento Territorial y Construccion;2025-I;Evaluacion y Monitoreo Ambiental en Proyectos de Ingenieria;14
Ingenieria Agricola;Ordenamiento Territorial y Construccion;2025-I;Geologia y Geotecnia;40
Ingenieria Agricola;Ordenamiento Territorial y Construccion;2025-I;Introduccion a las Soluciones basadas en la Naturaleza;10
Ingenieria Agricola;Ordenamiento Territorial y Construccion;2025-I;Materiales de Construccion;40
Ingenieria Agricola;Ordenamiento Territorial y Construccion;2025-I;Mecanica de Suelos;27
Ingenieria Agricola;Ordenamiento Territorial y Construccion;2025-I;Mecanica Vectorial I;27
Ingenieria Agricola;Ordenamiento Territorial y Construccion;2025-I;Ordenamiento Territorial;47
Ingenieria Agricola;Ordenamiento Territorial y Construccion;2025-I;Programacion y Supervision de Obras;19
Ingenieria Agricola;Ordenamiento Territorial y Construccion;2025-I;Proyectos de Inversion;36
Ingenieria Agricola;Ordenamiento Territorial y Construccion;2025-I;Resistencia de Materiales;26
Ingenieria Agricola;Ordenamiento Territorial y Construccion;2025-I;Tecnica de la Construccion;51
Ingenieria Agricola;Ordenamiento Territorial y Construccion;2025-I;Vivienda Rural;12
Ingenieria Agricola;Ordenamiento Territorial y Desarrollo Sostenible;2025-I;Quimica para la Ingenieria;43
Ingenieria Agricola;Recursos Hidricos;2025-I;Control de la Erosion;18
Ingenieria Agricola;Recursos Hidricos;2025-I;Diseño de Presas;12
Ingenieria Agricola;Recursos Hidricos;2025-I;Edafologia y Agrotecnia;42
Ingenieria Agricola;Recursos Hidricos;2025-I;Estructuras Hidraulicas I;33
Ingenieria Agricola;Recursos Hidricos;2025-I;Estructuras Hidraulicas II;21
Ingenieria Agricola;Recursos Hidricos;2025-I;Fundamentos de la Ingenieria Ambiental;31
Ingenieria Agricola;Recursos Hidricos;2025-I;Geomatica;45
Ingenieria Agricola;Recursos Hidricos;2025-I;Gestion Integrada de Recursos Hidricos;31
Ingenieria Agricola;Recursos Hidricos;2025-I;Hidraulica;52
Ingenieria Agricola;Recursos Hidricos;2025-I;Hidraulica Computacional;2
Ingenieria Agricola;Recursos Hidricos;2025-I;Hidrogeologia;43
Ingenieria Agricola;Recursos Hidricos;2025-I;Hidrologia;57
Ingenieria Agricola;Recursos Hidricos;2025-I;Hidrologia y Drenaje Urbano y Vial;5
Ingenieria Agricola;Recursos Hidricos;2025-I;Ingenieria de Drenaje;8
Ingenieria Agricola;Recursos Hidricos;2025-I;Ingenieria de Riegos I;42
Ingenieria Agricola;Recursos Hidricos;2025-I;Ingenieria de Riegos II;13
Ingenieria Agricola;Recursos Hidricos;2025-I;Ingenieria de Sistemas;4
Ingenieria Agricola;Recursos Hidricos;2025-I;Manejo y Gestion de Cuencas;6
Ingenieria Agricola;Recursos Hidricos;2025-I;Mecanica de Fluidos;13
Ingenieria Agricola;Recursos Hidricos;2025-I;Metodos de Analisis en Hidrologia;2
Ingenieria Agricola;Recursos Hidricos;2025-I;Metodos Numericos en Ingenieria;14
Ingenieria Agricola;Recursos Hidricos;2025-I;Modelos Hidraulicos;5
Ingenieria Agricola;Recursos Hidricos;2025-I;Salinidad y Recuperacion de Tierras;1
Ingenieria Agricola;Recursos Hidricos;2025-I;Seminario de Tesis II;24
Ingenieria Agricola;Recursos Hidricos;2025-I;Topografia I;119
Ingenieria Agricola;Recursos Hidricos;2025-I;Topografia y Geodesia I;36
Ingenieria Agricola;Recursos Hidricos;2025-I;Topografia y Geodesia II;24
Ingenieria Agricola;Recursos Hidricos;2025-I;Topografia y Geodesia III;16
Oficina de Bienestar Estudiantil;Actividades Culturales;2025-I;Artes Plasticas y Creatividad;41
Oficina de Bienestar Estudiantil;Actividades Culturales;2025-I;Banda Unalm;49
Oficina de Bienestar Estudiantil;Actividades Culturales;2025-I;Capoeira;41
Oficina de Bienestar Estudiantil;Actividades Culturales;2025-I;Danza de Costa;15
Oficina de Bienestar Estudiantil;Actividades Culturales;2025-I;Danzas Folcloricas;81
Oficina de Bienestar Estudiantil;Actividades Culturales;2025-I;Dibujo y Pintura;36
Oficina de Bienestar Estudiantil;Actividades Culturales;2025-I;Fotografia;57
Oficina de Bienestar Estudiantil;Actividades Culturales;2025-I;Guitarra;41
Oficina de Bienestar Estudiantil;Actividades Culturales;2025-I;Marinera Norteña;18
Oficina de Bienestar Estudiantil;Actividades Culturales;2025-I;Musica y Canto Coral;21
Oficina de Bienestar Estudiantil;Actividades Culturales;2025-I;Oratoria;28
Oficina de Bienestar Estudiantil;Actividades Culturales;2025-I;Teatro;37
Oficina de Bienestar Estudiantil;Educacion Fisica y Deportes;2025-I;Aerobicos;57
Oficina de Bienestar Estudiantil;Educacion Fisica y Deportes;2025-I;Aikido;18
Oficina de Bienestar Estudiantil;Educacion Fisica y Deportes;2025-I;Ajedrez;46
Oficina de Bienestar Estudiantil;Educacion Fisica y Deportes;2025-I;Basquet;24
Oficina de Bienestar Estudiantil;Educacion Fisica y Deportes;2025-I;Beisbol;21
Oficina de Bienestar Estudiantil;Educacion Fisica y Deportes;2025-I;Ciclismo;48
Oficina de Bienestar Estudiantil;Educacion Fisica y Deportes;2025-I;Futbol;34
Oficina de Bienestar Estudiantil;Educacion Fisica y Deportes;2025-I;Futsal Femenino;18
Oficina de Bienestar Estudiantil;Educacion Fisica y Deportes;2025-I;Handball;36
Oficina de Bienestar Estudiantil;Educacion Fisica y Deportes;2025-I;Judo;14
Oficina de Bienestar Estudiantil;Educacion Fisica y Deportes;2025-I;Karate;37
Oficina de Bienestar Estudiantil;Educacion Fisica y Deportes;2025-I;Taekwondo;55
Oficina de Bienestar Estudiantil;Educacion Fisica y Deportes;2025-I;Tenis de Mesa;27
Oficina de Bienestar Estudiantil;Educacion Fisica y Deportes;2025-I;Tiro con Arco;26
Oficina de Bienestar Estudiantil;Educacion Fisica y Deportes;2025-I;Voley;25
Pesqueria;Acuicultura e Industrias Pesqueras;2025-I;Acuicultura I;21
Pesqueria;Acuicultura e Industrias Pesqueras;2025-I;Acuicultura II;24
Pesqueria;Acuicultura e Industrias Pesqueras;2025-I;Construcciones Pesqueras;30
Pesqueria;Acuicultura e Industrias Pesqueras;2025-I;Cultivo de Especies Amazonicas;4
Pesqueria;Acuicultura e Industrias Pesqueras;2025-I;Cultivo de Especies de Aguas Frias;6
Pesqueria;Acuicultura e Industrias Pesqueras;2025-I;Cultivo de Peces Ornamentales;11
Pesqueria;Acuicultura e Industrias Pesqueras;2025-I;Elementos de Maquinarias Pesqueras;14
Pesqueria;Acuicultura e Industrias Pesqueras;2025-I;Fundamentos de Termodinamica;15
Pesqueria;Acuicultura e Industrias Pesqueras;2025-I;Genetica Aplicada a la Acuicultura;16
Pesqueria;Acuicultura e Industrias Pesqueras;2025-I;Ingenieria de Procesos Pesqueros;5
Pesqueria;Acuicultura e Industrias Pesqueras;2025-I;Microbiologia Pesquera;18
Pesqueria;Acuicultura e Industrias Pesqueras;2025-I;Nutricion y Alimentacion de Organismos Acuaticos;23
Pesqueria;Acuicultura e Industrias Pesqueras;2025-I;Operaciones Unitarias Pesqueras I;22
Pesqueria;Acuicultura e Industrias Pesqueras;2025-I;Operaciones Unitarias Pesqueras II;19
Pesqueria;Acuicultura e Industrias Pesqueras;2025-I;Procesamiento de Aceite y Harina de Pescado;7
Pesqueria;Acuicultura e Industrias Pesqueras;2025-I;Procesamiento de Enlatado de Recursos Hidrobiologicos;17
Pesqueria;Acuicultura e Industrias Pesqueras;2025-I;Procesamiento de Productos Curados;10
Pesqueria;Acuicultura e Industrias Pesqueras;2025-I;Produccion de Tilapias;10
Pesqueria;Acuicultura e Industrias Pesqueras;2025-I;Quimica de Recursos Hidrobiologicos;17
Pesqueria;Acuicultura e Industrias Pesqueras;2025-I;Refrigeracion en la Industria Pesquera;7
Pesqueria;Acuicultura e Industrias Pesqueras;2025-I;Refrigeracion y Congelacion de Recursos Hidrobiologicos;24
Pesqueria;Acuicultura e Industrias Pesqueras;2025-I;Reproduccion y Genetica de Organismos Acuaticos;26
Pesqueria;Acuicultura e Industrias Pesqueras;2025-I;Seminario II;16
Pesqueria;Acuicultura e Industrias Pesqueras;2025-I;Sistema de Calidad en Pesqueria;9
Pesqueria;Acuicultura e Industrias Pesqueras;2025-I;Surimi y sus Productos Derivados;11
Pesqueria;Acuicultura e Industrias Pesqueras;2025-I;Tecnologias para el Procesamiento Recursos Hidrobiologicos;40
Pesqueria;Manejo Pesquero y Medio Ambiente;2025-I;Comercializacion de Productos Hidrobiologicos;26
Pesqueria;Manejo Pesquero y Medio Ambiente;2025-I;Contaminacion de Ambientes Acuaticos;18
Pesqueria;Manejo Pesquero y Medio Ambiente;2025-I;Ecologia Acuatica;9
Pesqueria;Manejo Pesquero y Medio Ambiente;2025-I;Economia Pesquera;18
Pesqueria;Manejo Pesquero y Medio Ambiente;2025-I;Embarcaciones Pesqueras I;16
Pesqueria;Manejo Pesquero y Medio Ambiente;2025-I;Evaluacion de Recursos Hidrobiologicos;34
Pesqueria;Manejo Pesquero y Medio Ambiente;2025-I;Formulacion y Evaluacion de Proyectos Pesqueros con Excel;7
Pesqueria;Manejo Pesquero y Medio Ambiente;2025-I;Instrumentacion Pesquera;25
Pesqueria;Manejo Pesquero y Medio Ambiente;2025-I;Limnologia;15
Pesqueria;Manejo Pesquero y Medio Ambiente;2025-I;Materiales, Metodos y Artes de Pesca;16
Pesqueria;Manejo Pesquero y Medio Ambiente;2025-I;Navegacion y Seguridad a Bordo;14
Pesqueria;Manejo Pesquero y Medio Ambiente;2025-I;Oceanografia General;24
Pesqueria;Manejo Pesquero y Medio Ambiente;2025-I;Parasitologia de Peces y Moluscos;14
Pesqueria;Manejo Pesquero y Medio Ambiente;2025-I;Pesca Maritima y Continental;13
Pesqueria;Manejo Pesquero y Medio Ambiente;2025-I;Planificacion y Gestion Pesquera;8
Pesqueria;Manejo Pesquero y Medio Ambiente;2025-I;Realidad y Perspectivas de la Pesqueria en el Peru;49
Pesqueria;Manejo Pesquero y Medio Ambiente;2025-I;Recursos Hidrobiologicos;52
Pesqueria;Manejo Pesquero y Medio Ambiente;2025-I;Sanidad Acuicola;29
Pesqueria;Manejo Pesquero y Medio Ambiente;2025-I;Seminario I;25
Zootecnia;Nutricion;2025-I;Alimentacion de no Rumiantes;29
Zootecnia;Nutricion;2025-I;Alimentacion de Rumiantes;22
Zootecnia;Nutricion;2025-I;Alimentos Funcionales en Nutricion Animal y Humana;24
Zootecnia;Nutricion;2025-I;Anatomia de los Animales de Granja;56
Zootecnia;Nutricion;2025-I;Bases de Cirugia Experimental;14
Zootecnia;Nutricion;2025-I;Bioquimica para la Ciencia Animal;30
Zootecnia;Nutricion;2025-I;Conceptos y Retos Actuales de la Seguridad Alimentaria Mundial;15
Zootecnia;Nutricion;2025-I;Enfermedades Infecciosas;24
Zootecnia;Nutricion;2025-I;Enfermedades Parasitarias;25
Zootecnia;Nutricion;2025-I;Etologia, Bienestar y Bioetica Animal;23
Zootecnia;Nutricion;2025-I;Farmacologia;20
Zootecnia;Nutricion;2025-I;Fisiologia de los Animales de Granja;27
Zootecnia;Nutricion;2025-I;Microbiologia para la Ciencia Animal;25
Zootecnia;Nutricion;2025-I;Nutricion Animal;26
Zootecnia;Nutricion;2025-I;Nutricion de Animales de Compañia (perros y gatos);18
Zootecnia;Nutricion;2025-I;Nutricion II;7
Zootecnia;Nutricion;2025-I;Nutricion Molecular;22
Zootecnia;Nutricion;2025-I;Nutricion y Alimentacion de Animales al Pastoreo;35
Zootecnia;Nutricion;2025-I;Nutricion y Alimentacion de Monogastricos;4
Zootecnia;Nutricion;2025-I;Nutricion, Ambiente y Manejo de Residuos Pecuarios;16
Zootecnia;Nutricion;2025-I;Patologia Animal;25
Zootecnia;Nutricion;2025-I;Tecnologia de Alimentos Balanceados;41
Zootecnia;Produccion Animal;2025-I;Administracion Ganadera;23
Zootecnia;Produccion Animal;2025-I;Diseño de Instalaciones Pecuarias;24
Zootecnia;Produccion Animal;2025-I;Empresariado y Planeamiento en Ganaderia;26
Zootecnia;Produccion Animal;2025-I;Evaluacion del Impacto Ambiental en Ganaderia;40
Zootecnia;Produccion Animal;2025-I;Extension Pecuaria y Desarrollo Rural;35
Zootecnia;Produccion Animal;2025-I;Fisiologia de la Lactancia;6
Zootecnia;Produccion Animal;2025-I;Formulacion y Evaluacion de Proyectos Agropecuarios;31
Zootecnia;Produccion Animal;2025-I;Ganaderia de Precision;7
Zootecnia;Produccion Animal;2025-I;Genetica Animal;10
Zootecnia;Produccion Animal;2025-I;Genetica Molecular en la Ciencia Animal;11
Zootecnia;Produccion Animal;2025-I;Gestion de la Produccion de Camelidos Sudamericanos;11
Zootecnia;Produccion Animal;2025-I;Gestion de la Produccion de Conejos;7
Zootecnia;Produccion Animal;2025-I;Gestion de la Produccion de Cuyes;31
Zootecnia;Produccion Animal;2025-I;Gestion de la Produccion de Equinos;17
Zootecnia;Produccion Animal;2025-I;Gestion de la Produccion de Ovinos;22
Zootecnia;Produccion Animal;2025-I;Gestion de la Produccion de Pavos, Patos y Codornices;19
Zootecnia;Produccion Animal;2025-I;Gestion de la Produccion de Pollos de Carne y Gallinas Ponedoras;30
Zootecnia;Produccion Animal;2025-I;Gestion de la Produccion de Porcinos;14
Zootecnia;Produccion Animal;2025-I;Gestion de la Produccion de Vacunos de Carne y Doble Proposito;29
Zootecnia;Produccion Animal;2025-I;Gestion de la Produccion de Vacunos de Leche;21
Zootecnia;Produccion Animal;2025-I;Ingenieria de Procesos en Sistemas de Produccion Animal;27
Zootecnia;Produccion Animal;2025-I;Inseminacion Artificial;37
Zootecnia;Produccion Animal;2025-I;Introduccion a la Ciencia Animal;82
Zootecnia;Produccion Animal;2025-I;Manejo y Aprovechamiento de Animales Silvestres;14
Zootecnia;Produccion Animal;2025-I;Mejoramiento Genetico del Ganado I;33
Zootecnia;Produccion Animal;2025-I;Mejoramiento Genetico del Ganado II;16
Zootecnia;Produccion Animal;2025-I;Metodos Estadisticos Aplicados a la Ciencia Animal;23
Zootecnia;Produccion Animal;2025-I;Metodos Matematicos para la Ingenieria en Ciencia Animal;24
Zootecnia;Produccion Animal;2025-I;Politicas Publicas y Normatividad;31
Zootecnia;Produccion Animal;2025-I;Practicas de Ganaderia;38
Zootecnia;Produccion Animal;2025-I;Produccion y Manejo de Pastos y Forrajes;40
Zootecnia;Produccion Animal;2025-I;Reproduccion Animal;30
Zootecnia;Produccion Animal;2025-I;Reproduccion Equina y Porcina;7
Zootecnia;Produccion Animal;2025-I;Seminario en Zootecnia I;37
Zootecnia;Produccion Animal;2025-I;Seminario en Zootecnia II;43
Zootecnia;Produccion Animal;2025-I;Sistemas Agrosilvopastoriles;11
Zootecnia;Produccion Animal;2025-I;Tecnologia e Industrializacion de Fibras y Pieles;14
Zootecnia;Produccion Animal;2025-I;Tecnologia e Industrializacion de Leche y Carne;32
Zootecnia;Produccion Animal;2025-I;Ultrasonografia y Laparoscopia Reproductiva;6
Zootecnia;Produccion Animal;2025-I;Utilizacion de Pastizales en la Produccion Animal;31
Zootecnia;Produccion Animal;2025-I;Zootecnia General;133
