ENCUESTA NACIONAL DE HOGARES
AÑO = 2024
TRIMESTRE = 4
MÓDULO: GOBERNABILIDAD, DEMOCRACIA Y TRANSPARENCIA
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA E INFORMÁTICA
AÑO MES CONGLOME VIVIENDA HOGAR CODPERSO UBIGEO DOMINIO P1.01
2024 10 15271 64 11 3 21103 2 9
2024 10 15271 75 11 2 21103 2 1
2024 10 15271 104 11 2 21103 2 4
2024 10 15283 15 11 2 20105 5 1
2024 10 15283 34 11 3 20105 5 2
2024 10 15283 52 11 3 20105 5 1
2024 10 15283 71 11 2 20105 5 2
2024 10 15283 108 11 1 20105 5 2
2024 10 15283 124 11 2 20105 5 1
2024 10 15283 181 11 2 20105 5 2
2024 10 15301 5 11 2 20105 5 2
2024 10 15301 16 11 3 20105 5 3
2024 10 15301 29 11 1 20105 5 2
2024 10 15301 53 11 1 20105 5 3
2024 10 15301 63 11 2 20105 5 2
2024 10 15301 96 11 1 20105 5 2
2024 10 15318 20 11 2 20701 5 2
2024 10 15318 33 11 1 20701 5 1
2024 10 15318 48 11 1 20701 5 1
2024 10 15318 65 11 2 20701 5 5
2024 10 15318 99 11 1 20701 5 5
2024 10 15318 114 11 2 20701 5 5
2024 10 15326 110 11 1 21008 5 2
2024 10 15326 111 11 1 21008 5 1
2024 10 15326 218 11 1 21008 5 2
2024 10 15326 221 11 1 21008 5 5
2024 10 15326 223 11 1 21008 5 2
2024 10 15326 230 11 2 21008 5 1
2024 10 15326 231 11 1 21008 5 5
2024 10 15326 237 11 2 21008 5 5
2024 10 15330 77 11 1 21601 5 5
2024 10 15330 78 11 1 21601 5 2
2024 10 15330 79 11 1 21601 5 1
2024 10 15330 80 11 1 21601 5 5
2024 10 15330 210 11 3 21601 5 2
2024 10 15330 211 11 1 21601 5 4
2024 10 15330 212 11 3 21601 5 5
2024 10 15330 215 11 1 21601 5 2
2024 10 15348 33 11 1 20105 5 2
2024 10 15348 34 11 7 20105 5 1
2024 10 15348 35 11 1 20105 5 1
2024 10 15348 36 11 1 20105 5 1
2024 10 15348 98 11 1 20105 5 2
2024 10 15348 99 11 1 20105 5 5
2024 10 15348 100 11 1 20105 5 2
2024 10 15348 102 11 1 20105 5 5
2024 10 15367 40 11 2 21007 5 5
2024 10 15367 41 11 3 21007 5 3
2024 10 15367 43 11 1 21007 5 5
2024 10 15367 46 11 2 21007 5 1
2024 10 15367 53 11 2 21007 5 5
2024 10 15367 54 11 1 21007 5 5
2024 10 15367 90 11 2 21007 5 1
2024 10 15367 91 11 2 21007 5 2
2024 10 15370 121 11 2 22001 5 5
2024 10 15370 122 11 1 22001 5 5
2024 10 15370 303 11 2 22001 5 1
2024 10 15370 304 11 1 22001 5 1
2024 10 15370 305 11 1 22001 5 1
2024 10 15370 306 11 2 22001 5 2
2024 10 15370 308 11 2 22001 5 1
2024 10 15387 26 11 1 21005 5 2
2024 10 15387 47 11 2 21005 5 1
2024 10 15387 58 11 1 21005 5 2
2024 10 15387 69 11 1 21005 5 2
2024 10 15387 80 11 2 21005 5 5
2024 10 15387 90 11 3 21005 5 4
2024 10 15387 101 11 1 21005 5 5
2024 10 15387 110 11 2 21005 5 5
2024 10 15410 11 11 1 30101 6 2
2024 10 15410 25 11 1 30101 6 1
2024 10 15410 54 11 1 30101 6 1
2024 10 15410 81 11 2 30101 6 1
2024 10 15410 108 11 1 30101 6 1
2024 10 15410 121 11 2 30101 6 1
2024 10 15410 135 11 8 30101 6 2
2024 10 15410 147 11 2 30101 6 2
2024 10 15411 12 11 1 30101 6 1
2024 10 15411 58 11 1 30101 6 2
2024 10 15411 104 11 1 30101 6 5
2024 10 15411 127 11 1 30101 6 2
2024 10 15413 14 11 2 30216 6 5
2024 10 15413 25 11 3 30216 6 2
2024 10 15413 48 11 4 30216 6 3
2024 10 15413 59 11 1 30216 6 2
2024 10 15413 67 11 1 30216 6 5
2024 10 15413 80 11 1 30216 6 4
2024 10 15426 2 11 1 30204 6 5
2024 10 15426 11 11 2 30204 6 5
2024 10 15426 22 11 6 30204 6 1
2024 10 15426 30 11 3 30204 6 2
2024 10 15426 39 11 1 30204 6 1
2024 10 15426 58 11 1 30204 6 5
2024 10 15438 6 11 3 30104 6 2
2024 10 15438 32 11 1 30104 6 1
2024 10 15438 43 11 2 30104 6 1
2024 10 15438 53 11 1 30104 6 2
2024 10 15438 74 11 1 30104 6 1
2024 10 15481 101 11 2 30604 6 2
2024 10 15481 102 11 2 30604 6 5
2024 10 15481 103 11 1 30604 6 5
2024 10 15481 104 11 1 30604 6 2
2024 10 15481 224 11 1 30604 6 5
2024 10 15481 225 11 2 30604 6 1
2024 10 15481 226 11 1 30604 6 4
2024 10 15481 228 11 1 30604 6 1
2024 10 15483 37 11 1 30104 6 2
2024 10 15483 38 11 1 30104 6 5
2024 10 15483 39 11 1 30104 6 5
2024 10 15483 40 11 1 30104 6 5
2024 10 15483 117 11 2 30104 6 2
2024 10 15483 118 11 2 30104 6 1
2024 10 15483 119 11 2 30104 6 5
2024 10 15483 120 11 2 30104 6 2
2024 10 15493 4 11 2 30306 6 2
2024 10 15493 11 11 1 30306 6 5
2024 10 15493 24 11 1 30306 6 2
2024 10 15493 32 11 1 30306 6 5
2024 10 15493 40 11 2 30306 6 1
2024 10 15493 47 11 1 30306 6 2
2024 10 15493 60 11 1 30306 6 5
2024 10 15493 66 11 1 30306 6 2
2024 10 15498 3 11 1 30707 6 2
2024 10 15498 11 11 3 30707 6 2
2024 10 15498 37 11 1 30707 6 5
2024 10 15498 40 11 1 30707 6 5
2024 10 15498 73 11 1 30707 6 5
2024 10 15498 83 11 1 30707 6 2
2024 10 15517 73 11 1 30503 6 4
2024 10 15517 74 11 2 30503 6 5
2024 10 15517 75 11 1 30503 6 5
2024 10 15517 76 11 1 30503 6 1
2024 10 15517 169 11 2 30503 6 1
2024 10 15517 170 11 1 30503 6 2
2024 10 15517 171 11 1 30503 6 5
2024 10 15517 172 11 2 30503 6 2
2024 10 15530 10 11 1 40129 6 9
2024 10 15530 30 11 1 40129 6 2
2024 10 15530 69 11 1 40129 6 2
2024 10 15530 88 11 1 40129 6 2
2024 10 15530 105 11 1 40129 6 9
2024 10 15530 123 11 2 40129 6 9
2024 10 15542 39 11 2 40122 6 2
2024 10 15542 57 11 1 40122 6 1
2024 10 15542 75 11 1 40122 6 2
2024 10 15542 91 12 1 40122 6 5
2024 10 15542 91 22 1 40122 6 1
2024 10 15542 108 11 3 40122 6 2
2024 10 15542 138 11 3 40122 6 2
2024 10 15542 151 11 2 40122 6 1
2024 10 15556 11 11 2 40104 6 1
2024 10 15556 24 11 2 40104 6 2
2024 10 15556 28 11 1 40104 6 2
2024 10 15556 48 11 2 40104 6 9
2024 10 15556 62 11 2 40104 6 1
2024 10 15565 15 11 1 40104 6 2
2024 10 15565 35 11 2 40104 6 2
2024 10 15565 75 11 2 40104 6 9
2024 10 15565 95 11 2 40104 6 4
2024 10 15565 115 11 5 40104 6 1
